param,value
-1.2,-0.9915547024952014
-1.1985,-0.9914919965364272
-1.197,-0.9914282648771491
-1.1955,-0.9913634821432961
-1.194,-0.9912976221168903
-1.1925,-0.991230657700672
-1.191,-0.9911625608809204
-1.1895,-0.9910933026883818
-1.188,-0.9910228531571817
-1.1864999999999999,-0.9909511812815892
-1.185,-0.9908782549705154
-1.1835,-0.9908040409996153
-1.182,-0.9907285049608021
-1.1804999999999999,-0.9906516112090635
-1.179,-0.990573322806372
-1.1775,-0.9904936014625229
-1.176,-0.9904124074726827
-1.1744999999999999,-0.9903296996514562
-1.173,-0.9902454352632228
-1.1715,-0.9901595699485097
-1.17,-0.9900720576461176
-1.1684999999999999,-0.9899828505107314
-1.167,-0.9898918988256964
-1.1655,-0.9897991509106226
-1.164,-0.9897045530234551
-1.1624999999999999,-0.9896080492566456
-1.161,-0.9895095814269599
-1.1595,-0.9894090889585033
-1.158,-0.9893065087584554
-1.1564999999999999,-0.9892017750849672
-1.155,-0.9890948194066672
-1.1535,-0.9889855702531125
-1.152,-0.9888739530555266
-1.1505,-0.9887598899770679
-1.149,-0.9886432997318049
-1.1475,-0.9885240973915365
-1.146,-0.9884021941794797
-1.1445,-0.9882774972497632
-1.143,-0.9881499094515944
-1.1415,-0.9880193290768341
-1.14,-0.9878856495895834
-1.1385,-0.9877487593363075
-1.137,-0.9876085412347974
-1.1355,-0.9874648724401817
-1.134,-0.9873176239859744
-1.1325,-0.9871666603979392
-1.131,-0.9870118392783672
-1.1295,-0.9868530108580733
-1.128,-0.9866900175131352
-1.1265,-0.986522693243125
-1.125,-0.9863508631071859
-1.1235,-0.9861743426139189
-1.1219999999999999,-0.9859929370606286
-1.1205,-0.9858064408169412
-1.119,-0.9856146365472418
-1.1175,-0.9854172943657724
-1.1159999999999999,-0.9852141709174762
-1.1145,-0.9850050083768433
-1.113,-0.9847895333561283
-1.1115,-0.9845674557132026
-1.1099999999999999,-0.984338467248097
-1.1085,-0.9841022402759579
-1.107,-0.9838584260624751
-1.1055,-0.9836066531061121
-1.104,-0.9833465252493269
-1.1025,-0.9830776195985717
-1.101,-0.9827994842301306
-1.0995,-0.9825116356556052
-1.0979999999999999,-0.9822135560171255
-1.0965,-0.9819046899780974
-1.095,-0.9815844412701898
-1.0935,-0.9812521688513748
-1.092,-0.9809071826229798
-1.0905,-0.9805487386454831
-1.089,-0.9801760337833013
-1.0875,-0.9797881996974294
-1.086,-0.9793842960913178
-1.0845,-0.9789633030994925
