param,value
-1.1,-1
-1.0995000000000001,-1
-1.0990000000000002,-1
-1.0985,-1
-1.098,-1
-1.0975000000000001,-1
-1.097,-1
-1.0965,-1
-1.096,-1
-1.0955000000000001,-1
-1.0950000000000002,-1
-1.0945,-1
-1.094,-1
-1.0935000000000001,-1
-1.093,-1
-1.0925,-1
-1.092,-1
-1.0915000000000001,-1
-1.0910000000000002,-1
-1.0905,-1
-1.09,-1
-1.0895000000000001,-1
-1.089,-1
-1.0885,-1
-1.088,-1
-1.0875000000000001,-1
-1.0870000000000002,-1
-1.0865,-1
-1.086,-1
-1.0855000000000001,-1
-1.085,-1
-1.0845,-1
-1.084,-1
-1.0835000000000001,-1
-1.0830000000000002,-1
-1.0825,-1
-1.082,-1
-1.0815000000000001,-1
-1.081,-1
-1.0805,-1
-1.08,-1
-1.0795000000000001,-1
-1.0790000000000002,-1
-1.0785,-1
-1.078,-1
-1.0775000000000001,-1
-1.077,-1
-1.0765,-1
-1.076,-1
-1.0755000000000001,-1
-1.0750000000000002,-1
-1.0745,-1
-1.074,-1
-1.0735000000000001,-1
-1.073,-1
-1.0725,-1
-1.072,-1
-1.0715000000000001,-1
-1.0710000000000002,-1
-1.0705,-1
-1.07,-1
-1.0695000000000001,-1
-1.069,-1
-1.0685,-1
-1.068,-1
-1.0675000000000001,-1
-1.0670000000000002,-1
-1.0665,-1
-1.066,-1
-1.0655000000000001,-1
-1.065,-1
-1.0645,-1
-1.064,-1
-1.0635000000000001,-1
-1.0630000000000002,-1
-1.0625,-1
-1.062,-1
-1.0615,-1
-1.061,-1
-1.0605,-1
-1.06,-1
-1.0595,-1
-1.0590000000000002,-1
-1.0585,-1
-1.058,-1
-1.0575,-1
-1.057,-1
-1.0565,-1
-1.056,-1
-1.0555,-1
-1.0550000000000002,-1
-1.0545,-1
-1.054,-1
-1.0535,-1
-1.053,-1
-1.0525,-1
-1.052,-1
-1.0515,-1
-1.0510000000000002,-1
-1.0505,-1
-1.05,-1
-1.0495,-1
-1.049,-1
-1.0485,-1
-1.048,-1
-1.0475,-1
-1.0470000000000002,-1
-1.0465,-1
-1.046,-1
-1.0455,-1
-1.045,-1
-1.0445,-1
-1.044,-1
-1.0435,-1
-1.0430000000000001,-1
-1.0425,-1
-1.042,-1
-1.0415,-1
-1.041,-1
-1.0405,-1
-1.04,-1
-1.0395,-1
-1.0390000000000001,-1
-1.0385,-1
-1.038,-1
-1.0375,-1
-1.037,-1
-1.0365,-1
-1.036,-1
-1.0355,-1
-1.0350000000000001,-1
-1.0345,-1
-1.034,-1
-1.0335,-1
-1.033,-1
-1.0325,-1
-1.032,-1
-1.0315,-1
-1.0310000000000001,-1
-1.0305,-1
-1.03,-1
-1.0295,-1
-1.029,-1
-1.0285,-1
-1.028,-1
-1.0275,-1
-1.0270000000000001,-1
-1.0265,-1
-1.026,-1
-1.0255,-1
-1.025,-1
-1.0245,-1
-1.024,-1
-1.0235,-1
-1.0230000000000001,-1
-1.0225,-1
-1.022,-1
-1.0215,-1
-1.021,-1
-1.0205,-1
-1.02,-1
-1.0195,-1
-1.0190000000000001,-1
-1.0185,-1
-1.018,-1
-1.0175,-1
-1.017,-1
-1.0165,-1
-1.016,-1
-1.0155,-1
-1.0150000000000001,-1
-1.0145,-1
-1.014,-1
-1.0135,-1
-1.013,-1
-1.0125,-1
-1.012,-1
-1.0115,-1
-1.0110000000000001,-1
-1.0105,-1
-1.01,-1
-1.0095,-1
-1.009,-1
-1.0085,-1
-1.008,-1
-1.0075,-1
-1.0070000000000001,-1
-1.0065,-1
-1.006,-1
-1.0055,-1
-1.005,-1
-1.0045,-1
-1.004,-1
-1.0035,-1
-1.0030000000000001,-1
-1.0025,-1
-1.002,-1
-1.0015,-1
-1.001,-1
-1.0005,-1
-1,-1
