param,value
-1.5,-0.9961998354528752
-1.495,-0.9961669120822332
-1.49,-0.9961332775376148
-1.485,-0.9960989085244486
-1.48,-0.9960637807195726
-1.475,-0.9960278687138391
-1.47,-0.9959911459508118
-1.465,-0.9959535846612786
-1.46,-0.9959151557932181
-1.455,-0.99587582893686
-1.45,-0.9958355722444289
-1.445,-0.995794352344129
-1.44,-0.9957521342478779
-1.435,-0.9957088812522543
-1.43,-0.9956645548320743
-1.425,-0.9956191145259433
-1.42,-0.9955725178130692
-1.415,-0.9955247199805479
-1.41,-0.9954756739802583
-1.405,-0.9954253302743915
-1.4,-0.995373636668556
-1.395,-0.9953205381312765
-1.39,-0.9952659765985733
-1.385,-0.9952098907621614
-1.38,-0.9951522158396461
-1.375,-0.9950928833249073
-1.37,-0.9950318207166475
-1.365,-0.9949689512228387
-1.3599999999999999,-0.9949041934385446
-1.355,-0.9948374609942638
-1.35,-0.994768662171612
-1.345,-0.9946976994827346
-1.34,-0.9946244692094073
-1.335,-0.9945488608972317
-1.33,-0.9944707567997383
-1.325,-0.9943900312665273
-1.32,-0.9943065500687387
-1.315,-0.9942201696542495
-1.31,-0.9941307363239011
-1.305,-0.994038085318814
-1.3,-0.9939420398073833
-1.295,-0.9938424097588553
-1.29,-0.9937389906883892
-1.285,-0.9936315622561644
-1.28,-0.9935198867003349
-1.275,-0.9934037070803772
-1.27,-0.9932827453035257
-1.265,-0.9931566999023693
-1.26,-0.9930252435262455
-1.255,-0.9928880201024602
-1.25,-0.9927446416155264
-1.245,-0.9925946844430528
-1.24,-0.9924376851754322
-1.2349999999999999,-0.9922731358324376
-1.23,-0.9921004783727126
-1.225,-0.9919190983711311
-1.22,-0.9917283177130809
-1.2149999999999999,-0.9915273861225943
-1.21,-0.9913154713012183
-1.205,-0.9910916474043736
-1.2,-0.9908548815187546
-1.195,-0.9906040177241617
-1.19,-0.9903377582209295
-1.185,-0.9900546408726828
-1.18,-0.9897530123440945
-1.175,-0.989430995791532
-1.17,-0.9890864517728666
-1.165,-0.9887169306559616
-1.16,-0.9883196142877081
-1.155,-0.9878912439857447
-1.15,-0.9874280309592042
-1.145,-0.9869255439442298
-1.1400000000000001,-0.9863785669934213
-1.135,-0.9857809177418599
-1.13,-0.9851252127120762
-1.125,-0.9844025607325291
-1.12,-0.9836021573991774
-1.115,-0.9827107411972688
-1.1099999999999999,-0.981711852907825
-1.105,-0.9805848099657569
-1.1,-0.9793032589975372
-1.095,-0.9778330892460192
-1.0899999999999999,-0.9761293515035804
-1.085,-0.9741315818491169
-1.08,-0.9717564756426739
-1.075,-0.9688859774160954
-1.07,-0.965347050544341
-1.065,-0.9608754520223377
-1.06,-0.9550465192148864
-1.055,-0.9471316508720903
-1.05,-0.935767132354958
-1.045,-0.918069279535495
-1.04,-0.8866987686822079
-1.035,-0.815838562364331
-1.03,-0.5042825833470427
-1.025,-0.5854604076306172
-1.02,-0.8293190930253229
-1.0150000000000001,-0.892733349880252
-1.01,-0.9218961743697063
-1.005,-0.9386568527829522
-1,-0.9495395483789583
-0.995,-0.9571750678396859
-0.99,-0.962828073770396
-0.985,-0.9671819662838084
-0.98,-0.9706384142964228
-0.975,-0.973448970349391
-0.97,-0.9757792071870589
-0.965,-0.9777425604295841
-0.96,-0.9794193527386433
-0.955,-0.980868054531917
-0.95,-0.9821322420256536
-0.945,-0.9832450558108704
-0.94,-0.984232148292581
-0.9349999999999999,-0.9851136855716133
-0.9299999999999999,-0.9859057397049366
-0.9249999999999999,-0.9866212774681901
-0.92,-0.987270875763747
-0.915,-0.9878632479580433
-0.91,-0.9884056369850477
-0.905,-0.9889041129701092
-0.9,-0.9893638013773872
-0.895,-0.9897890598936973
-0.89,-0.9901836170021319
-0.885,-0.9905506815884856
-0.88,-0.9908930304071053
-0.875,-0.9912130784540291
-0.87,-0.991512936021493
-0.865,-0.9917944552846485
-0.86,-0.9920592685945998
-0.855,-0.9923088201507253
-0.85,-0.9925443923503445
-0.845,-0.9927671278308718
-0.84,-0.9929780480042013
-0.835,-0.9931780687177606
-0.83,-0.9933680135488216
-0.825,-0.9935486251391076
-0.82,-0.9937205748986194
-0.815,-0.9938844713460322
-0.8099999999999999,-0.9940408673040244
-0.8049999999999999,-0.9941902661288611
-0.7999999999999999,-0.994333127122126
-0.795,-0.9944698702472123
-0.79,-0.9946008802525763
-0.785,-0.9947265102870161
-0.78,-0.9948470850785336
-0.775,-0.9949629037370115
-0.77,-0.9950742422316522
-0.765,-0.9951813555863699
-0.76,-0.9952844798298983
-0.755,-0.995383833732004
-0.75,-0.9954796203526864
-0.745,-0.9955720284274503
-0.74,-0.9956612336085333
-0.735,-0.9957473995792683
-0.73,-0.9958306790564585
-0.725,-0.9959112146936722
-0.72,-0.9959891398967017
-0.715,-0.9960645795609923
-0.71,-0.9961376507396147
-0.705,-0.996208463249293
-0.7,-0.9962771202210954
-0.695,-0.9963437186015822
-0.69,-0.9964083496095489
-0.6849999999999999,-0.9964710991528726
-0.6799999999999999,-0.9965320482094842
-0.6749999999999999,-0.9965912731760035
-0.6699999999999999,-0.9966488461872073
-0.665,-0.9967048354091262
-0.66,-0.9967593053082873
-0.655,-0.9968123168993263
-0.65,-0.9968639279729785
-0.645,-0.9969141933062334
-0.64,-0.9969631648562624
-0.635,-0.9970108919395616
-0.63,-0.9970574213976102
-0.625,-0.997102797750211
-0.62,-0.9971470633375713
-0.615,-0.9971902584520755
-0.61,-0.9972324214606119
-0.605,-0.9972735889182346
-0.6,-0.9973137956738679
-0.595,-0.9973530749686959
-0.59,-0.9973914585278204
-0.585,-0.9974289766457201
-0.58,-0.9974656582659923
-0.575,-0.9975015310558202
-0.57,-0.9975366214755693
-0.565,-0.9975709548438758
-0.5599999999999999,-0.9976045553985721
-0.5549999999999999,-0.9976374463537468
-0.5499999999999999,-0.9976696499532334
-0.5449999999999999,-0.9977011875207737
-0.54,-0.9977320795071072
-0.535,-0.997762345534193
-0.53,-0.9977920044367723
-0.525,-0.9978210743014556
-0.52,-0.9978495725035023
-0.515,-0.9978775157414518
-0.51,-0.9979049200697523
-0.505,-0.997931800929518
-0.5,-0.997958173177542
