param,value
-1.5,-0.9962078988201647
-1.495,-0.9961748700095079
-1.49,-0.9961411194550156
-1.485,-0.9961066231016042
-1.48,-0.9960713558071539
-1.475,-0.9960352912800966
-1.47,-0.995998402012611
-1.465,-0.9959606592090545
-1.46,-0.995922032709268
-1.455,-0.9958824909062902
-1.45,-0.9958420006580575
-1.445,-0.9958005271924507
-1.44,-0.9957580340052121
-1.435,-0.9957144827500409
-1.43,-0.9956698331201203
-1.425,-0.9956240427204042
-1.42,-0.9955770669296169
-1.415,-0.9955288587511946
-1.41,-0.9954793686519325
-1.405,-0.9954285443872375
-1.4,-0.9953763308116352
-1.395,-0.9953226696730254
-1.39,-0.9952674993890517
-1.385,-0.9952107548037289
-1.38,-0.9951523669222359
-1.375,-0.9950922626215675
-1.37,-0.9950303643343467
-1.365,-0.9949665897029563
-1.3599999999999999,-0.9949008512005126
-1.355,-0.9948330557149817
-1.35,-0.9947631040921572
-1.345,-0.9946908906325064
-1.34,-0.9946163025364936
-1.335,-0.9945392192919537
-1.33,-0.9944595119962085
-1.325,-0.9943770426047446
-1.32,-0.9942916630968159
-1.315,-0.9942032145468604
-1.31,-0.9941115260892119
-1.305,-0.9940164137610162
-1.3,-0.9939176792065194
-1.295,-0.9938151082223013
-1.29,-0.9937084691203564
-1.285,-0.9935975108811538
-1.28,-0.9934819610644332
-1.275,-0.9933615234391913
-1.27,-0.9932358752872616
-1.265,-0.9931046643261123
-1.26,-0.9929675051856768
-1.255,-0.9928239753608603
-1.25,-0.9926736105448669
-1.245,-0.992515899228237
-1.24,-0.9923502764229695
-1.2349999999999999,-0.9921761163386565
-1.23,-0.9919927237972033
-1.225,-0.9917993241200105
-1.22,-0.9915950511547235
-1.2149999999999999,-0.991378933021038
-1.21,-0.9911498750408134
-1.205,-0.990906639166259
-1.2,-0.9906478190174988
-1.195,-0.9903718093670163
-1.19,-0.9900767685334522
-1.185,-0.9897605716266952
-1.18,-0.9894207518522536
-1.175,-0.9890544260311239
-1.17,-0.9886581989538162
-1.165,-0.9882280388901545
-1.16,-0.9877591130550973
-1.155,-0.9872455662606118
-1.15,-0.9866802168254639
-1.145,-0.9860541279668043
-1.1400000000000001,-0.9853559834324843
-1.135,-0.9845711349925234
-1.13,-0.9836800369915734
-1.125,-0.9826552552434563
-1.12,-0.9814528074021291
-1.115,-0.9798447639702056
-1.1099999999999999,-0.9782719374395833
-1.105,-0.976187563626456
-1.1,-0.9733279662264103
-1.095,-0.9686263747445618
-1.0899999999999999,-0.9604258692782683
-1.085,-0.9495364392940391
-1.08,-0.9351709051014763
-1.075,-0.91900952365704
-1.07,-0.9033714240608917
-1.065,-0.8905415057003802
-1.06,-0.8802500684841346
-1.055,-0.8687490590449538
-1.05,-0.8615300392726395
-1.045,-0.8681053611713272
-1.04,-0.8722909396598513
-1.035,-0.8769722697243664
-1.03,-0.8801289163179234
-1.025,-0.8891114960712447
-1.02,-0.9025074452250985
-1.0150000000000001,-0.9087397896293663
-1.01,-0.9190186314042942
-1.005,-0.9246277396055669
-1,-0.9291345845752588
-0.995,-0.9313664627674784
-0.99,-0.928704760076831
-0.985,-0.922372673557579
-0.98,-0.9172697151890157
-0.975,-0.9225693217490047
-0.97,-0.9206321238392587
-0.965,-0.9286733211749109
-0.96,-0.9356000643420183
-0.955,-0.944893346041964
-0.95,-0.9525462773608464
-0.945,-0.9635312471855512
-0.94,-0.9731784548972474
-0.9349999999999999,-0.9780261971421531
-0.9299999999999999,-0.9807212662031348
-0.9249999999999999,-0.9825537838288635
-0.92,-0.9839693693459479
-0.915,-0.9851226616380462
-0.91,-0.9860923495527854
-0.905,-0.9869255434455474
-0.9,-0.9876530655643916
-0.895,-0.9882963139993258
-0.89,-0.9888708017743524
-0.885,-0.9893881564416928
-0.88,-0.9898573277965729
-0.875,-0.9902853558362623
-0.87,-0.990677879629557
-0.865,-0.9910394861263349
-0.86,-0.9913739561468302
-0.855,-0.9916844421151342
-0.85,-0.9919735991929377
-0.845,-0.9922436838162857
-0.84,-0.992496628940711
-0.835,-0.9927341023283374
-0.83,-0.9929575522805144
-0.825,-0.9931682439356381
-0.82,-0.9933672883805081
-0.815,-0.9935556662203388
-0.8099999999999999,-0.9937342468279844
-0.8049999999999999,-0.9939038041898371
-0.7999999999999999,-0.9940650300456375
-0.795,-0.9942185448580843
-0.79,-0.9943649070281199
-0.785,-0.9945046206814471
-0.78,-0.994638142283497
-0.775,-0.9947658862875649
-0.77,-0.9948882299802956
-0.765,-0.99500551765695
-0.76,-0.995118064234383
-0.755,-0.9952261583894745
-0.75,-0.9953300652957494
-0.745,-0.9954300290177807
-0.74,-0.9955262746132378
-0.735,-0.9956190099840609
-0.73,-0.9957084275115715
-0.725,-0.9957947055048206
-0.72,-0.9958780094870503
-0.715,-0.9959584933412303
-0.71,-0.9960363003326408
-0.705,-0.9961115640239105
-0.7,-0.9961844090955501
-0.695,-0.9962549520834436
-0.69,-0.9963233020430242
-0.6849999999999999,-0.9963895611485263
-0.6799999999999999,-0.9964538252348563
-0.6749999999999999,-0.9965161842883637
-0.6699999999999999,-0.9965767228920891
-0.665,-0.9966355206305173
-0.66,-0.9966926524579888
-0.655,-0.9967481890346628
-0.65,-0.9968021970332351
-0.645,-0.9968547394196011
-0.64,-0.9969058757096724
-0.635,-0.9969556622050936
-0.63,-0.997004152209599
-0.625,-0.9970513962279625
-0.62,-0.997097442149168
-0.615,-0.9971423354152633
-0.61,-0.997186119177111
-0.605,-0.9972288344383782
-0.6,-0.9972705201886187
-0.595,-0.9973112135265468
-0.59,-0.99735094977427
-0.585,-0.99738976258326
-0.58,-0.9974276840327941
-0.575,-0.9974647447214555
-0.57,-0.9975009738522223
-0.565,-0.9975363993117706
-0.5599999999999999,-0.9975710477443729
-0.5549999999999999,-0.9976049446208235
