param,value
0,-0.9992898211670201
0.005,-0.9992793386903185
0.01,-0.999268542101547
0.015,-0.9992574170659521
0.02,-0.9992459483630111
0.025,-0.9992341198168824
0.03,-0.9992219142203109
0.035,-0.9992093132510597
0.04,-0.9991962973800764
0.045,-0.9991828457705133
0.05,-0.9991689361663255
0.055,-0.9991545447693788
0.06,-0.9991396461034848
0.065,-0.9991242128638476
0.07,-0.9991082157499804
0.075,-0.9990916232799425
0.08,-0.9990744015834554
0.085,-0.9990565141710241
0.09,-0.9990379216756833
0.095,-0.9990185815636693
0.1,-0.9989984478093489
0.105,-0.9989774705293658
0.11,-0.9989555955696732
0.115,-0.9989327640385115
0.12,-0.9989089117765421
0.125,-0.9988839687543497
0.13,-0.9988578583852651
0.135,-0.9988304967392875
0.14,-0.9988017916411774
0.145,-0.9987716416321963
0.15,-0.998739934770897
0.155,-0.9987065472430116
0.16,-0.9986713417440932
0.165,-0.9986341655902476
0.17,-0.9985948485020956
0.17500000000000002,-0.9985531999941526
0.18,-0.9985090062849215
0.185,-0.9984620266219856
0.19,-0.9984119888884166
0.195,-0.9983585843211359
0.2,-0.9983014611242373
0.20500000000000002,-0.998240216697782
0.21,-0.9981743881185811
0.215,-0.998103440396088
0.22,-0.9980267518717673
0.225,-0.9979435959165976
0.23,-0.9978531177826858
0.23500000000000001,-0.9977543050416516
0.24,-0.9976459494350529
0.245,-0.9975265970750739
0.25,-0.9973944826183935
0.255,-0.9972474410475461
0.26,-0.9970827876271862
0.265,-0.9968971517640377
0.27,-0.9966862426728991
0.275,-0.9964445117309478
0.28,-0.996164654046777
0.28500000000000003,-0.9958368519771429
0.29,-0.9954475894977152
0.295,-0.99497772260803
0.3,-0.9943991947636451
0.305,-0.9936691327138377
0.31,-0.9927184886479832
0.315,-0.9914281948317514
0.32,-0.9895727305346244
0.325,-0.9866536126186225
0.33,-0.981392956521414
0.335,-0.9682607188120468
0.34,-0.8174987046550504
0.34500000000000003,-0.8285417057552528
0.35000000000000003,-0.9466553852400005
0.355,-0.976036656801167
0.36,-0.9838636654187207
0.365,-0.9882624962788082
0.37,-0.9906157478984193
0.375,-0.9921506467809212
0.38,-0.9932479640266585
0.385,-0.994073794241363
0.39,-0.9947185306298598
0.395,-0.9952361579411587
0.4,-0.9956610381115405
0.405,-0.9960161259299375
0.41000000000000003,-0.9963173564929768
0.41500000000000004,-0.9965761453549002
0.42,-0.9968008883431778
0.425,-0.9969979000038209
0.43,-0.9971720219274243
0.435,-0.9973270291674878
0.44,-0.9974659089512047
0.445,-0.9975910562291841
0.45,-0.9977044136740675
0.455,-0.9978075737245823
0.46,-0.9979018541714336
0.465,-0.9979883549632633
0.47000000000000003,-0.9980680014638642
0.47500000000000003,-0.9981415777890559
0.48,-0.9982097527813192
0.485,-0.9982731004528542
0.49,-0.9983321162249316
0.495,-0.9983872299391056
0.5,-0.9984388163653085
0.505,-0.9984872037512627
0.51,-0.9985326808267218
0.515,-0.9985755025787256
0.52,-0.9986158950424807
0.525,-0.9986540592982864
0.53,-0.9986901748239053
0.535,-0.9987244023204581
0.54,-0.9987568861059778
0.545,-0.9987877561517905
0.55,-0.9988171298224678
0.555,-0.9988451133685003
0.56,-0.9988718032117094
0.5650000000000001,-0.9988972870563232
0.5700000000000001,-0.9989216448525785
0.5750000000000001,-0.9989449496352779
0.58,-0.998967268255785
0.585,-0.998988662022969
0.59,-0.9990091872660458
0.595,-0.9990288958301564
0.6,-0.9990478355139031
0.605,-0.9990660504566811
0.61,-0.9990835814822888
0.615,-0.9991004664045376
0.62,-0.9991167402997091
0.625,-0.9991324357499057
0.63,-0.9991475830608649
0.635,-0.999162210457411
0.64,-0.9991763442590423
0.645,-0.9991900090380655
0.65,-0.9992032277622152
0.655,-0.9992160219235366
0.66,-0.9992284116550612
0.665,-0.9992404158365268
0.67,-0.9992520521904518
0.675,-0.9992633373694543
0.68,-0.9992742870357891
0.685,-0.9992849159339025
0.6900000000000001,-0.9992952379567034
0.6950000000000001,-0.9993052662061543
0.7000000000000001,-0.9993150130487851
0.705,-0.9993244901665801
0.71,-0.9993337086036919
0.715,-0.9993426788094195
0.72,-0.9993514106776742
0.725,-0.9993599135834641
0.73,-0.9993681964164165
0.735,-0.999376267611819
0.74,-0.9993841351792828
0.745,-0.9993918067292591
0.75,-0.9993992894975918
0.755,-0.9994065903682806
0.76,-0.9994137158946427
0.765,-0.9994206723189114
0.77,-0.9994274655904659
0.775,-0.9994341013828293
0.78,-0.9994405851094816
0.785,-0.9994469219385707
0.79,-0.9994531168066492
0.795,-0.9994591744315373
0.8,-0.9994650993242686
0.805,-0.9994708958003182
0.81,-0.9994765679900878
0.8150000000000001,-0.9994821198487068
0.8200000000000001,-0.9994875551652561
0.8250000000000001,-0.9994928775713552
0.8300000000000001,-0.999498090549303
0.835,-0.9995031974396376
0.84,-0.9995082014482939
0.845,-0.9995131056533184
0.85,-0.9995179130111741
0.855,-0.999522626362694
0.86,-0.9995272484386701
0.865,-0.9995317818651455
0.87,-0.9995362291683657
0.875,-0.9995405927795015
0.88,-0.9995448750390664
0.885,-0.9995490782010908
0.89,-0.9995532044371173
0.895,-0.9995572558398923
0.9,-0.9995612344269497
0.905,-0.9995651421439358
0.91,-0.9995689808677859
0.915,-0.9995727524097436
0.92,-0.9995764585181935
0.925,-0.9995801008813832
0.93,-0.9995836811299527
0.935,-0.9995872008394204
0.9400000000000001,-0.9995906615324498
0.9450000000000001,-0.9995940646810698
0.9500000000000001,-0.9995974117087562
0.9550000000000001,-0.9996007039924159
0.96,-0.9996039428642814
0.965,-0.9996071296137061
0.97,-0.9996102654888607
0.975,-0.9996133516983905
0.98,-0.9996163894129492
0.985,-0.9996193797666899
0.99,-0.9996223238586688
0.995,-0.999625222754198
1,-0.9996280774861191
