param,value
0,-0.9992909410630212
0.005,-0.9992804927185863
0.01,-0.9992697318455337
0.015,-0.9992586442085286
0.02,-0.9992472146943692
0.025,-0.9992354272432564
0.03,-0.999223264773504
0.035,-0.9992107090989455
0.04,-0.9991977408382003
0.045,-0.9991843393148451
0.05,-0.9991704824474086
0.055,-0.9991561466279619
0.06,-0.9991413065878959
0.065,-0.9991259352492833
0.07,-0.9991100035599858
0.075,-0.9990934803103924
0.08,-0.9990763319293579
0.085,-0.9990585222565339
0.09,-0.9990400122878427
0.095,-0.9990207598903251
0.1,-0.999000719481973
0.105,-0.9989798416714274
0.11,-0.9989580728515463
0.115,-0.9989353547398007
0.12,-0.998911623857205
0.125,-0.9988868109359693
0.13,-0.9988608402442358
0.135,-0.9988336288140338
0.14,-0.9988050855558742
0.145,-0.9987751102400784
0.15,-0.9987435923208363
0.155,-0.9987104095739193
0.16,-0.998675426512663
0.165,-0.9986384925389391
0.17,-0.9985994397759104
0.17500000000000002,-0.998558080516784
0.18,-0.9985142042077737
0.185,-0.9984675738629398
0.19,-0.9984179217820529
0.195,-0.9983649444081099
0.2,-0.9983082961158479
0.20500000000000002,-0.9982475816626946
0.21,-0.9981823469536135
0.215,-0.9981120676634949
0.22,-0.9980361351139042
0.225,-0.9979538385987887
0.23,-0.997864343071929
0.23500000000000001,-0.9977666607110952
0.24,-0.9976596143044374
0.245,-0.9975417895771878
0.25,-0.9974114723545248
0.255,-0.9972665646184125
0.26,-0.9971044706972435
0.265,-0.9969219404087664
0.27,-0.9967148488830486
0.275,-0.9964778810932657
0.28,-0.9962040692377772
0.28500000000000003,-0.9958840961475139
0.29,-0.9955052139518159
0.295,-0.995049504950495
0.3,-0.9944909651828999
0.305,-0.9937903626428216
0.31,-0.9928856004553216
0.315,-0.991672218520986
0.32,-0.9899598393574297
0.325,-0.987360970677452
0.33,-0.9829467939972715
0.335,-0.9737945492662474
0.34,-0.9434389140271495
0.34500000000000003,-0.7368421052631547
0.35000000000000003,-0.958813838550247
0.355,-0.9776586237712241
0.36,-0.9846719803801348
0.365,-0.9883341110592627
0.37,-0.9905838041431262
0.375,-0.9921060940953583
0.38,-0.9932046751834738
0.385,-0.9940348365545216
0.39,-0.994684244099511
0.395,-0.9952061361457335
0.4,-0.9956347127640999
0.405,-0.9959929475877545
0.41000000000000003,-0.9962968449118649
0.41500000000000004,-0.996557896186149
0.42,-0.9967845659163987
0.425,-0.9969832267406782
0.43,-0.9971587680418229
0.435,-0.9973150037589947
0.44,-0.9974549526621195
0.445,-0.9975810353168844
0.45,-0.9976952152668941
0.455,-0.9977991020336298
0.46,-0.9978940274618819
0.465,-0.9979811031252523
0.47000000000000003,-0.9980612640558356
0.47500000000000003,-0.998135302453942
0.48,-0.9982038939578993
0.485,-0.9982676183216687
0.49,-0.9983269758415312
0.495,-0.9983824005176318
0.5,-0.9984342706832843
0.505,-0.9984829176527702
0.51,-0.998528632805603
0.515,-0.9985716734274125
0.52,-0.9986122675548155
0.525,-0.9986506180169482
0.53,-0.9986869058248857
0.535,-0.9987212930284896
0.54,-0.9987539251358222
0.545,-0.9987849331713244
0.55,-0.9988144354341537
0.555,-0.9988425390064355
0.56,-0.9988693410519651
0.5650000000000001,-0.9988949299385581
0.5700000000000001,-0.9989193862113681
0.5750000000000001,-0.9989427834397598
0.58,-0.9989651889564966
0.585,-0.9989866645048843
0.59,-0.9990072668069729
0.595,-0.9990270480638257
0.6,-0.9990460563971458
0.605,-0.9990643362401287
0.61,-0.9990819286842202
0.615,-0.9990988717874779
0.62,-0.9991152008494072
0.625,-0.9991309486564466
0.63,-0.9991461457016975
0.635,-0.9991608203819946
0.64,-0.9991749991749992
0.645,-0.999188706798637
0.65,-0.9992019663549015
0.655,-0.999214799459782
0.66,-0.9992272263608544
0.665,-0.9992392660438791
0.67,-0.9992509363295881
0.675,-0.9992622539616962
0.68,-0.9992732346870549
0.685,-0.9992838933287502
0.6900000000000001,-0.9992942438528639
0.6950000000000001,-0.9993042994295255
0.7000000000000001,-0.9993140724888194
0.705,-0.9993235747720447
0.71,-0.9993328173787729
0.715,-0.9993418108100992
0.72,-0.9993505650084427
0.725,-0.9993590893942113
0.73,-0.999367392899618
0.735,-0.9993754839999001
0.74,-0.999383370742175
0.745,-0.9993910607721349
0.75,-0.9993985613587701
0.755,-0.9994058794172865
0.76,-0.9994130215303703
0.765,-0.9994199939679372
0.77,-0.9994268027054912
0.775,-0.9994334534412038
0.78,-0.9994399516118193
0.785,-0.9994463024074771
0.79,-0.9994525107855375
0.795,-0.9994585814834868
0.8,-0.9994645190309936
0.805,-0.9994703277611814
0.81,-0.9994760118211733
0.8150000000000001,-0.9994815751819671
0.8200000000000001,-0.9994870216476864
0.8250000000000001,-0.9994923548642557
0.8300000000000001,-0.9994975783275387
0.835,-0.9995026953909809
0.84,-0.9995077092727881
0.845,-0.9995126230626766
0.85,-0.999517439728222
0.855,-0.9995221621208357
0.86,-0.9995267929813935
0.865,-0.9995313349455411
0.87,-0.9995357905486956
0.875,-0.999540162230765
0.88,-0.9995444523406039
0.885,-0.9995486631402213
